               eta                    f                   f'                  f''
      1.6000000000        -0.0012800437        -0.0016001365        -0.0010003414
      1.7000000000        -0.0014450592        -0.0017001740        -0.0010004095
      1.8000000000        -0.0016200787        -0.0018002187        -0.0010004861
      1.9000000000        -0.0018051032        -0.0019002716        -0.0010005718
      2.0000000000        -0.0020001333        -0.0020003334        -0.0010006669
      2.1000000000        -0.0022051702        -0.0021004053        -0.0010007721
      2.2000000000        -0.0024202148        -0.0022004882        -0.0010008878
      2.3000000000        -0.0026452682        -0.0023005832        -0.0010010145
      2.4000000000        -0.0028803319        -0.0024006915        -0.0010011527
      2.5000000000        -0.0031254070        -0.0025008141        -0.0010013030
      2.6000000000        -0.0033804952        -0.0026009525        -0.0010014658
      2.7000000000        -0.0036455981        -0.0027011077        -0.0010016417
      2.8000000000        -0.0039207174        -0.0028012813        -0.0010018312
      2.9000000000        -0.0042058550        -0.0029014744        -0.0010020347
      3.0000000000        -0.0045010129        -0.0030016887        -0.0010022528
      3.1000000000        -0.0048061935        -0.0031019255        -0.0010024860
      3.2000000000        -0.0051213989        -0.0032021864        -0.0010027348
      3.3000000000        -0.0054466316        -0.0033024730        -0.0010029997
      3.4000000000        -0.0057818944        -0.0034027869        -0.0010032812
      3.5000000000        -0.0061271899        -0.0035031298        -0.0010035799
      3.6000000000        -0.0064825213        -0.0036035035        -0.0010038963
      3.7000000000        -0.0068478917        -0.0037039097        -0.0010042309
      3.8000000000        -0.0072233044        -0.0038043503        -0.0010045842
      3.9000000000        -0.0076087630        -0.0039048272        -0.0010049567
      4.0000000000        -0.0080042711        -0.0040053423        -0.0010053490
      4.1000000000        -0.0084098328        -0.0041058976        -0.0010057616
      4.2000000000        -0.0088254521        -0.0042064953        -0.0010061950
      4.3000000000        -0.0092511333        -0.0043071374        -0.0010066498
      4.4000000000        -0.0096868811        -0.0044078260        -0.0010071265
      4.5000000000        -0.0101327002        -0.0045085634        -0.0010076256
      4.6000000000        -0.0105885955        -0.0046093519        -0.0010081476
      4.7000000000        -0.0110545723        -0.0047101937        -0.0010086932
      4.8000000000        -0.0115306361        -0.0048110913        -0.0010092629
      4.9000000000        -0.0120167925        -0.0049120471        -0.0010098572
      5.0000000000        -0.0125130475        -0.0050130636        -0.0010104766
      5.1000000000        -0.0130194073        -0.0051141433        -0.0010111218
      5.2000000000        -0.0135358784        -0.0052152888        -0.0010117932
      5.3000000000        -0.0140624674        -0.0053165028        -0.0010124915
      5.4000000000        -0.0145991813        -0.0054177880        -0.0010132172
      5.5000000000        -0.0151460275        -0.0055191472        -0.0010139709
      5.6000000000        -0.0157030133        -0.0056205832        -0.0010147532
      5.7000000000        -0.0162701467        -0.0057220988        -0.0010155646
      5.8000000000        -0.0168474358        -0.0058236971        -0.0010164057
      5.9000000000        -0.0174348890        -0.0059253810        -0.0010172771
      6.0000000000        -0.0180325150        -0.0060271535        -0.0010181795
      6.1000000000        -0.0186403228        -0.0061290179        -0.0010191134
      6.2000000000        -0.0192583217        -0.0062309773        -0.0010200794
      6.3000000000        -0.0198865215        -0.0063330349        -0.0010210781
      6.4000000000        -0.0205249321        -0.0064351940        -0.0010221101
      6.5000000000        -0.0211735638        -0.0065374580        -0.0010231762
      6.6000000000        -0.0218324273        -0.0066398304        -0.0010242768
      6.7000000000        -0.0225015336        -0.0067423146        -0.0010254126
      6.8000000000        -0.0231808941        -0.0068449141        -0.0010265843
      6.9000000000        -0.0238705204        -0.0069476327        -0.0010277926
      7.0000000000        -0.0245704247        -0.0070504739        -0.0010290380
      7.1000000000        -0.0252806194        -0.0071534415        -0.0010303212
      7.2000000000        -0.0260011173        -0.0072565394        -0.0010316429
      7.3000000000        -0.0267319317        -0.0073597714        -0.0010330038
      7.4000000000        -0.0274730762        -0.0074631415        -0.0010344045
      7.5000000000        -0.0282245648        -0.0075666536        -0.0010358458
      7.6000000000        -0.0289864118        -0.0076703120        -0.0010373284
      7.7000000000        -0.0297586322        -0.0077741207        -0.0010388529
      7.8000000000        -0.0305412411        -0.0078780840        -0.0010404201
      7.9000000000        -0.0313342543        -0.0079822062        -0.0010420307
      8.0000000000        -0.0321376878        -0.0080864916        -0.0010436855
      8.1000000000        -0.0329515582        -0.0081909448        -0.0010453852
      8.2000000000        -0.0337758825        -0.0082955702        -0.0010471305
